,City,Vehicle Revenue Miles,Population
221,Maple Grove,200811,71711
222,Margate,145849,58495
223,Maricopa,46498,50028
224,Marietta,3732201,60647
225,Marysville,1288120,69606
226,McAllen,544510,142530
227,Medford,2809448,139887
228,Memphis,7202570,651104
229,Merced,2723414,83113
230,Meridian,2036159,106464
231,Miami,52850438,462819
232,Midland,2453241,142173
233,Milford,543324,53148
234,Milwaukee,19096281,591375
235,Minneapolis,30957308,424903
236,Miramar,169656,140564
237,Missoula,1295708,74882
238,Mobile,1681426,189809
239,Modesto,3436252,214389
240,Montebello,2401176,62440
241,Monterey Park,249461,60198
242,Montgomery,1483989,198899
243,Muncie,955725,68115
244,Murfreesboro,246892,141442
245,Nampa,623353,96213
246,Napa,1721065,78946
247,Nashua,571644,88871
248,New Bedford,2095348,95371
249,New Britain,1008642,72591
250,New Brunswick,4280349,55878
251,New Orleans,8025199,391004
252,New York,582918358,8390081
253,Newark,335119920,331753
254,Newton,74547,88641
255,Noblesville,523049,63303
256,Norfolk,144457,243585
257,North Charleston,3096637,113077
258,North Little Rock,3241898,66022
259,Norwalk,5556366,193859
260,Oakland,105487222,429056
261,Ocala,1511512,60274
262,Oceanside,9370151,175758
263,Oklahoma City,3436915,647912
264,Olathe,2207396,139758
265,Olympia,7084170,52508
266,Omaha,5068534,477299
267,Ontario,260239,180718
268,Orange,40537480,139449
269,Orlando,26694415,285903
270,Oshkosh,950637,66802
271,Owensboro,2407830,59745
272,Oxnard,2965313,209271
273,Pasadena,1810854,293639
274,Pensacola,2506891,52637
275,Peoria,6898454,283712
276,Petaluma,1067801,61826
277,Philadelphia,91772173,1583592
278,Phoenix,53825403,1654675
279,Pico Rivera,21737,62677
280,Pittsburgh,33622855,300570
281,Plantation,24057148,94019
282,Plymouth,346081,79345
283,Pocatello,704374,55982
284,Pomona,2878386,151925
285,Pompano Beach,4407509,111636
286,Port Arthur,342222,54889
287,Porterville,742618,59685
288,Portland,86555218,717242
289,Portsmouth,2817637,94750
290,Providence,11812067,179520
291,Pueblo,1241666,111725
292,Quincy,831215,94403
293,Racine,1268887,77075
294,Raleigh,9002558,469314
295,Rapid City,548463,76170
296,Redding,1018614,91606
297,Redondo Beach,448541,67206
298,Reno,6952998,250146
299,Richland,8521998,57533
300,Richmond,25804370,339410
301,Riverside,14036224,329654
302,Roanoke,2844685,99009
303,Rochester,20617762,323051
304,Rock Hill,526287,74458
305,Rockford,2065681,146307
306,Rockville,13294018,68028
307,Rocky Mount,1920812,54232
308,Rosemead,158803,54226
309,Roseville,719913,138953
310,Roswell,324187,94665
311,Round Rock,260826,128849
312,Sacramento,14704205,507737
313,Saginaw,1195747,48310
314,Salem,6652738,172646
315,Salt Lake City,39149927,200435
316,San Angelo,1105543,100009
317,San Antonio,37412791,1530016
318,San Bernardino,11415447,216323
319,San Diego,51086493,1421917
320,San Francisco,33038026,880696
321,San Jose,24936784,1028020
322,San Marcos,1611852,160168
323,San Rafael,3004682,58704
324,Sandy,347042,96737
325,Sanford,1555359,60107
326,Santa Barbara,2627848,91203
327,Santa Clarita,3545218,213549
328,Santa Cruz,3312817,64643
329,Santa Fe,1099479,84211
330,Santa Maria,977992,107218
331,Santa Monica,5084921,91106
332,Santa Rosa,3239272,176750
333,Sarasota,6624478,57746
334,Savannah,3290510,145817
335,Scottsdale,1021967,254479
336,Scranton,1756058,77017
337,Seattle,84082123,742235
338,Shawnee,429474,65933
339,Shreveport,2937119,189360
340,Simi Valley,540835,125438
341,Sioux City,1736863,82380
342,Sioux Falls,1222584,180398
343,Somerville,1198722,81357
344,South Bend,2634318,101971
345,South Gate,362387,94135
346,Spokane,9277891,219332
347,Springdale,778774,80907
348,Springfield,61199930,558777
349,St. Cloud,4108308,122381
350,St. George,416460,87113
351,St. Joseph,1147530,75604
352,St. Louis,30018249,303419
353,St. Paul,29592333,306960
354,St. Petersburg,12984217,264466
355,Stillwater,683193,50479
356,Stockton,4634975,311628
357,Suffolk,258519,90975
358,Sugar Land,1754794,118777
359,Syracuse,6129219,142745
360,Tacoma,11813952,216111
361,Tallahassee,4643663,192763
362,Tampa,11022246,397232
363,Taunton,3518988,57365
364,Terre Haute,573906,60775
365,Texas City,965679,49078
366,Thousand Oaks,1049184,127279
367,Toledo,4947612,274864
368,Topeka,1134193,125778
369,Torrance,2370761,144706
370,Tracy,416966,91818
371,Trenton,553485,83604
372,Troy,1557982,133465
373,Tucson,980186,544858
374,Tulare,639848,64274
375,Tulsa,3773603,400414
376,Turlock,304094,73396
377,Tuscaloosa,398647,100190
378,Twin Falls,87298,49713
379,Tyler,654006,105668
380,Union City,1084354,142684
381,Utica,264409,60040
382,Vacaville,566729,99949
383,Valdosta,298724,56428
384,Vallejo,1721283,121677
385,Vancouver,5696047,182887
386,Victoria,1074097,66835
387,Visalia,4452130,133428
388,Waco,1971114,137886
389,Warren,1120769,134376
390,Warwick,110175,80966
391,Washington,147216701,701547
392,Waterbury,1901963,108123
393,Waterloo,1432519,67722
394,Waukesha,1231386,72453
395,West Covina,12574894,105964
396,West Palm Beach,17414165,111058
397,Westminster,1394038,203969
398,White Plains,11318128,58141
399,Whittier,186061,85791
400,Wichita,2564138,389231
401,Wichita Falls,574267,104356
402,Wilmington,11602522,193073
403,Winston-Salem,3177944,246535
404,Woodland,2279677,60474
405,Worcester,3056242,185555
406,Yakima,1878548,93548
407,Youngstown,1739481,64860
408,Yuma,1367969,97648
