State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IA,53469408,53391219,56392483,59447048,56141276,55133298,58492665,58772497,58071000,63270604,59147880,58490508,57390800,56265552,56824393,57844700,56553550,58386418,62486170,62636484,63491355,65575892,64003576,67293732,68418535,71794470,74818399,74244996,77181992,78148348,79408635,78238732,78818424,78909611,80039229,80075558,81322232,87043259,90318719,85427914,90283165,87257327,81393288,82374613,83436758,77415740,73990429,76298116,82427563,77296215
KS,51069474,52771586,56065239,57049179,57379320,57567477,60499668,61923951,67674836,72991996,67908969,64599261,63238404,62933282,70679871,68059165,65181423,68383691,70704132,68755073,68837828,67739401,65265664,71364752,71619175,69537030,74609584,71222252,70111613,73275497,75815270,71825633,76339560,78825977,76616874,73084660,72852112,79048822,75004146,73213969,72622630,70704326,66069280,69762235,70344095,64512560,62615038,59027588,62852776,60452670
KY,86293826,88452425,94129778,94482394,95232857,91259419,101025545,101578925,102845655,102691568,103860096,103203156,98445733,100487015,105011343,107704344,110945561,112730075,122906630,119149614,120316504,119989794,123915701,134620521,132507337,137945910,139133997,142952955,141420314,146228157,147083321,151034529,151344028,147782523,154498327,156307987,158716988,158481583,155798217,146018836,152938106,151191139,140628019,139694370,140359598,131342970,126817384,116776484,122771335,115381729
LA,144079687,146679036,155310523,168845460,172154747,159717265,182615959,204843660,212375064,203997622,192817514,192644679,176703492,167990586,175254020,164820463,174245032,176029281,183278508,187647291,191496141,190702992,197903897,201086980,206086999,206920775,213051971,221357889,208192560,206468170,220604889,198701227,204574341,201594799,207870115,201930848,210072292,210622499,204105197,193461978,203541848,207937475,197122263,188998046,186340954,185559256,189149204,193367101,194743220,194892652
ME,16806242,20578686,22159732,21315037,18744817,16072729,18658920,19006632,17667317,16214348,14613853,14366899,17425613,13315964,15172191,14772447,18584041,17436200,20438406,19124301,18896525,18402003,19242466,18778319,20149470,18851087,19344684,19580504,19254940,20232890,22248238,22382354,23888876,23782829,24069169,23074593,21229197,20901188,19018661,18329211,17753228,17307794,15621216,16367145,16443697,16679089,16156399,15373392,14763073,14426405
MD,74197803,75377109,76253175,81737661,76346807,67144258,72635858,67565663,70211762,73347556,67507923,63185919,61172990,62434347,68721251,64844059,66572013,71182306,74110179,77343901,70392300,69352529,67503903,69686023,70876497,70488745,72694591,72781858,76022230,78610013,78500603,79015298,79074072,82190110,83406547,85000797,78160288,78491676,74559058,71389499,71400902,66884837,62366090,61625579,64230321,62280327,60478869,55036797,61685315,56871498
MA,99570073,100027344,103890062,103241361,94436424,91815099,96548614,95267247,93509594,80221992,77613910,73426498,76312282,73333792,80190114,79411319,84783606,85578125,85340465,89082184,82940382,81723995,83710605,80862172,81109722,78533226,79175119,85181681,83100124,80756695,82297931,81985634,82955721,84826975,82948824,84364784,76569976,79879358,76666041,70392152,72791402,68766650,62487236,66515320,64939833,66746522,64101308,64707753,64107395,63325575
MI,186783826,192662713,199413203,199962624,190355867,191787053,193558691,184978384,188682371,188734813,179413293,169999032,158222430,155018306,162277862,166711872,170403863,173925049,180782411,177905432,180132654,178448090,177396456,178205839,185927031,188920637,194353044,191878589,191105421,198995244,194555052,189547244,188814624,187065861,188901622,190120789,179305418,182013716,175466463,164757865,167520971,162498111,155441032,164027750,163956814,164455623,154538566,155674847,163717444,159239980
MN,69324587,68484806,72688779,76000800,74574512,72779810,77802786,79406190,80677079,76833804,71408265,67035855,65147952,63257621,67870758,66618721,64210916,68420974,76980787,79970448,78836145,78739519,80127559,84638407,86195841,88947858,93944961,91700136,91768789,92590344,98131963,94902811,97276696,101923143,100812834,101806949,99126428,100633299,100005426,92206700,91883984,91401085,86444453,90821950,95885945,89330999,91111437,91271318,94756050,92089690
MS,38680479,40494464,43306886,44069920,43334195,40849899,43369237,47270851,50120389,50411364,47661876,45135115,45424277,42783756,44488737,43706660,44743125,46323768,49320847,45987872,48390534,48123466,48236724,50506351,50160929,51567581,54435380,55792732,56641271,61456179,61359585,69791115,62573532,64138529,65725127,64000036,66215446,68322845,64743012,60658272,63680218,58559319,60128112,57079131,59779846,61296921,62321892,60458391,63232526,62544588
